"annee","departement","profession_sante","effectif","densite","nb_total","nb_hop","nb_prives","nb_ambu","nb_had","nb_msp"
2010,"01","anesthesistes reanimateurs",38,3.1,806,21,8,54,1,39
2010,"01","autres medecins",6,0.5,806,21,8,54,1,39
2010,"01","cardiologues",36,3,806,21,8,54,1,39
2010,"01","chirurgiens",44,3.6,806,21,8,54,1,39
2010,"01","chirurgiens dentistes hors specialistes d orthopedie dento faciale odf",560,46,806,21,8,54,1,39
2010,"01","chirurgiens dentistes specialistes d orthopedie dento faciale odf",40,3.3,806,21,8,54,1,39
2010,"01","dermatologues",28,2.3,806,21,8,54,1,39
2010,"01","endocrinologues",8,0.66,806,21,8,54,1,39
2010,"01","ensemble des auxiliaires medicaux",2109,176,806,21,8,54,1,39
2010,"01","ensemble des chirurgiens dentistes",600,50,806,21,8,54,1,39
2010,"01","ensemble des medecins",1398,116,806,21,8,54,1,39
2010,"01","ensemble des medecins generalistes",890,74,806,21,8,54,1,39
2010,"01","ensemble des medecins specialistes hors generalistes",508,42,806,21,8,54,1,39
2010,"01","gynecologues medicaux et obstetriciens",46,9.4,806,21,8,54,1,39
2010,"01","hepato gastro enterologues",20,1.7,806,21,8,54,1,39
2010,"01","infirmiers",1018,84,806,21,8,54,1,39
2010,"01","masseurs kinesitherapeutes",694,59,806,21,8,54,1,39
2010,"01","medecins generalistes a expertise particuliere mep",122,10.1,806,21,8,54,1,39
2010,"01","medecins generalistes hors medecins a expertise particuliere mep",768,64,806,21,8,54,1,39
2010,"01","medecins pathologistes",6,0.5,806,21,8,54,1,39
2010,"01","nephrologues",8,0.66,806,21,8,54,1,39
2010,"01","neurologues",10,0.83,806,21,8,54,1,39
2010,"01","ophtalmologues",46,3.8,806,21,8,54,1,39
2010,"01","orthophonistes",271,23,806,21,8,54,1,39
2010,"01","orthoptistes",20,1.7,806,21,8,54,1,39
2010,"01","oto rhino laryngologistes",32,2.6,806,21,8,54,1,39
2010,"01","pediatres",30,12.1,806,21,8,54,1,39
2010,"01","pedicures podologues",106,9,806,21,8,54,1,39
2010,"01","pneumologues",12,1,806,21,8,54,1,39
2010,"01","psychiatres",42,3.5,806,21,8,54,1,39
2010,"01","radiologues",68,5.6,806,21,8,54,1,39
2010,"01","radiotherapeutes",4,0.33,806,21,8,54,1,39
2010,"01","rhumatologues",18,1.5,806,21,8,54,1,39
2010,"01","sages femmes",66,24.2,806,21,8,54,1,39
2010,"01","stomatologues",6,0.5,806,21,8,54,1,39
2010,"02","anesthesistes reanimateurs",36,3.3,851,43,9,53,3,34
2010,"02","autres medecins",14,1.3,851,43,9,53,3,34
2010,"02","cardiologues",42,3.9,851,43,9,53,3,34
2010,"02","chirurgiens",78,7.2,851,43,9,53,3,34
2010,"02","chirurgiens dentistes hors specialistes d orthopedie dento faciale odf",398,37,851,43,9,53,3,34
2010,"02","chirurgiens dentistes specialistes d orthopedie dento faciale odf",24,2.2,851,43,9,53,3,34
2010,"02","dermatologues",34,3.1,851,43,9,53,3,34
2010,"02","endocrinologues",6,0.55,851,43,9,53,3,34
2010,"02","ensemble des auxiliaires medicaux",1677,156,851,43,9,53,3,34
2010,"02","ensemble des chirurgiens dentistes",422,39,851,43,9,53,3,34
2010,"02","ensemble des medecins",1478,137,851,43,9,53,3,34
2010,"02","ensemble des medecins generalistes",880,81,851,43,9,53,3,34
2010,"02","ensemble des medecins specialistes hors generalistes",598,55,851,43,9,53,3,34
2010,"02","gynecologues medicaux et obstetriciens",78,17.3,851,43,9,53,3,34
2010,"02","hepato gastro enterologues",24,2.2,851,43,9,53,3,34
2010,"02","infirmiers",931,86,851,43,9,53,3,34
2010,"02","masseurs kinesitherapeutes",464,43,851,43,9,53,3,34
2010,"02","medecins generalistes a expertise particuliere mep",90,8.3,851,43,9,53,3,34
2010,"02","medecins generalistes hors medecins a expertise particuliere mep",790,73,851,43,9,53,3,34
2010,"02","medecins nucleaires",6,0.55,851,43,9,53,3,34
2010,"02","medecins pathologistes",2,0.18,851,43,9,53,3,34
2010,"02","nephrologues",8,0.74,851,43,9,53,3,34
2010,"02","neurologues",8,0.74,851,43,9,53,3,34
2010,"02","ophtalmologues",56,5.2,851,43,9,53,3,34
2010,"02","orthophonistes",153,14,851,43,9,53,3,34
2010,"02","orthoptistes",15,1.5,851,43,9,53,3,34
2010,"02","oto rhino laryngologistes",26,2.4,851,43,9,53,3,34
2010,"02","pediatres",32,15,851,43,9,53,3,34
2010,"02","pedicures podologues",114,11,851,43,9,53,3,34
2010,"02","pneumologues",24,2.2,851,43,9,53,3,34
2010,"02","psychiatres",30,2.8,851,43,9,53,3,34
2010,"02","radiologues",62,5.7,851,43,9,53,3,34
2010,"02","radiotherapeutes",6,0.55,851,43,9,53,3,34
2010,"02","rhumatologues",20,1.8,851,43,9,53,3,34
2010,"02","sages femmes",28,11.9,851,43,9,53,3,34
2010,"02","stomatologues",6,0.55,851,43,9,53,3,34
2010,"03","anesthesistes reanimateurs",38,5.5,602,25,7,31,0,21
2010,"03","autres medecins",10,1.5,602,25,7,31,0,21
2010,"03","cardiologues",42,6.1,602,25,7,31,0,21
2010,"03","chirurgiens",70,10.2,602,25,7,31,0,21
2010,"03","chirurgiens dentistes hors specialistes d orthopedie dento faciale odf",342,50,602,25,7,31,0,21
2010,"03","chirurgiens dentistes specialistes d orthopedie dento faciale odf",16,2.3,602,25,7,31,0,21
2010,"03","dermatologues",22,3.2,602,25,7,31,0,21
2010,"03","endocrinologues",4,0.58,602,25,7,31,0,21
2010,"03","ensemble des auxiliaires medicaux",1466,216,602,25,7,31,0,21
2010,"03","ensemble des chirurgiens dentistes",358,52,602,25,7,31,0,21
